Name,DiscRef,r_SpT,r_radius,r_log_g,r_Teff,r_Mass,r_D_Trig,r_pm,r_SDSS,r_PanSTARRS_y,JHKRef,MKORef,r_Peculiarities,r_Member,r_Gaia-G,r_RV,Polarization Ref,r_IRAC3p6,r_IRAC4p5,r_MKO-Y,r_Variable,r_Variable_period,r_IRAC5p8,r_IRAC8,r_MKO-L
0452+3037,Luhman2017,SkiffBMK,,,,,,HSOY,PS1,PS1,2MASS,,,Luhman2017,HSOY,,,,,,,,,,
LEHPM 2-59,Zhang2017,Zhang2017,,Zhang2017,Zhang2017,,,,PS1,,2MASS,,,,,,,,,,,,,,
J0453-1751,Cruz2003,Gagne2015c,,Gagne2015c,Gagne2015c,,,GagneBDs,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,Gaia1,,,,,,,,,,
0455+3027,Luhman2017,Luhman2017,,,,,,,PS1,PS1,2MASS,,,Luhman2017,,,,,,,,,,,
0455+3039,Luhman2017,Luhman2017,,,,,,,PS1,PS1,2MASS,,,Luhman2017,,,,,,,,,,,
0455+3028 (W),Luhman2017,Luhman2017,,,,,,,PS1,PS1,2MASS,,,Luhman2017,,,,,,,,,,,
0455+3019,Luhman2017,Luhman2017,,,,,,,PS1,PS1,2MASS,,,Luhman2017,,,,,,,,,,,
0455+3006,Luhman2017,Luhman2017,,,,,,,PS1,PS1,2MASS,,,Luhman2017,,,,,,,,,,,
0455+3049,Luhman2017,Luhman2017,,,,,,HSOY,PS1,PS1,2MASS,,,Luhman2017,HSOY,,,,,,,,,,
J0457-0207,Bihain2013,Bihain2013,,,,,,Bihain2013,PS1,PS1,2MASS,,,,,,,,,,,,,,
0457+3015,Luhman2017,Luhman2017,,,,,,,PS1,PS1,2MASS,,,Luhman2017,,,,,,,,,,,
J045833.00+111241.6,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J0458-3002,Gagne2015c,Gagne2015c,,,,,,,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,,,,,,,,,,,
J0458+6434,Mainzer2011,Kirkpatrick2011,,,,,Dupuy2013,,PS1,,,,Gelino2011,,,,,Kirkpatrick2011,Kirkpatrick2011,Kirkpatrick2011,,,,,
WISEA J045900.42-285338.3,Schneider2017,Schneider2017,,,,,,Schneider2017,PS1,,2MASS,,Schneider2017,,,,,,,,,,,,
0459+2840,Luhman2017,,,,,,,HSOY,PS1,PS1,2MASS,,,Luhman2017,HSOY,,,,,,,,,,
J0459+1541,Kirkpatrick2014,Kirkpatrick2014,,,,,,GagneBDs,PS1,PS1,2MASS,,Kirkpatrick2014,,,,,,,,,,,,
J0500-1223,Kirkpatrick2011,Kirkpatrick2011,,,,,,,PS1,,,Kirkpatrick2011,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
0500+0330,Reid2008,Gagne2015c,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Dieterich2014,GagneBDs,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,,,,,,,,,,,
J0500+0442,Kirkpatrick2016,Kirkpatrick2016,,,,,,,PS1,PS1,2MASS,,,,,,,,,,,,,,
2MASS J05012406-0010452,Reid2008,Liu2016,Filippazzo2015,Filippazzo2015,Faherty2016,Faherty2016,Faherty2016,Faherty2016,PS1,PS1,2MASS,,Liu2016,Gagne2015c,Gaia1,Faherty2016,,,,,,,,,
J0502+1442,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
WISEA J050259.73-610206.1,Schneider2017,Schneider2017,,,,,,Schneider2017,,,Schneider2017,,,,,,,,,,,,,,
J050349.14-270542.9,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,Gaia1,,,,,,,,,,
J076.1314+25.1940,Best2015,,,,,,,,PS1,PS1,2MASS,,,,,,,,,,,,,,
0506+2104,Luhman2017,Luhman2017,,,,,,,PS1,PS1,2MASS,,,Luhman2017,,,,,,,,,,,
J076.7092+52.6087,Best2015,Best2015,,,,,,Best2015,PS1,PS1,Best2015,,,Best2015,,,,,,,,,,,
J0507+1430B,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,Gagne2015c,,,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,,,,,,,,,,,
J0507+1430A,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,Gagne2015c,,,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,,,,,,,,,,,
J0507-0342,Schneider2016,Kirkpatrick2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
PSO J077.1033+24.3809,Best2017,Best2017,,,,Best2017,,Best2017,PS1,PS1,2MASS,Best2017,,Best2017,,,,,,,,,,,
J0508+3319,Kirkpatrick2016,Kirkpatrick2016,,,,,,,PS1,PS1,,,,,,,,,,,,,,,
J0510-4208,Looper2007,Looper2007,,,,,,GagneBDs,,,2MASS,,,,,,,,,,,,,,
J0510-1843,Faherty2016,Faherty2016,,,,,,Faherty2016,PS1,PS1,2MASS,,Faherty2016,Gagne2015c,,,,,,,,,,,
J0512-2949,Cruz2003,Faherty2016,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,Faherty2016,PS1,PS1,2MASS,,Faherty2016,Gagne2015c,,,,,,,,,,,
J0512-3004,Mace2013,Mace2013,,,,,,,PS1,,,Mace2013,,,,,,Mace2013,Mace2013,,,,,,
J0512-3041,Gagne2015c,Gagne2015c,,Gagne2015c,Gagne2015c,,,,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,,,,,,,,,,,
J0513+0608,Kirkpatrick2011,Kirkpatrick2011,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J051526.68-230954.2,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J078.9904+31.0171,Best2015,Best2015,,,,,,Best2015,PS1,PS1,Best2015,,,,,,,,,,,,,,
0516-0445,Burgasser2003,Burgasser2006,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Faherty2012,Burgasser2003,PS1,PS1,2MASS,Scholz2012?,,,,,,,,,,,,,
J0518-3101,Faherty2016,Faherty2016,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,Faherty2016,PS1,PS1,2MASS,,Faherty2016,Gagne2015c,,,,,,,,,,,
2MASS J05184616-2756457,Cruz2007,Liu2016,Gagne2015c,Gagne2015c,Faherty2016,Faherty2016,Faherty2016,Faherty2016,PS1,PS1,2MASS,,Liu2016,Faherty2016,Gaia1,Faherty2016,,,,,,,,,
J0518-2828,Cruz2004,Kirkpatrick2008,,,,,Dupuy2012,GagneBDs,PS1,PS1,2MASS,,Cruz2004 ; Burgasser2006b,,,,,,,,,,,,
J0521+1025,Bihain2013,Bihain2013,,,,,,HSOY,PS1,PS1,2MASS,,,,HSOY,,,,,,,,,,
J052309.87+014251.0,Downes2015,Downes2015,,,,,,,PS1,PS1,,,,Downes2015,,,,Downes2015,Downes2015,,,,Downes2015,,
J052324.07+014727.3,Downes2015,Downes2015,,,,,,,PS1,PS1,,,,Downes2015,,,,Downes2015,Downes2015,,,,Downes2015,Downes2015,
J052334.64+015047.4,Downes2015,Downes2015,,,,,,,PS1,PS1,2MASS,,,Downes2015,,,,Downes2015,Downes2015,,,,Downes2015,Downes2015,
0523-1403,Cruz2003,Cruz2003,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Dieterich2014,Schmidt2007,PS1,PS1,2MASS,,,,,Blake2010,,,,,,,,,
J052348.33+014832.9,Downes2015,Downes2015,,,,,,,PS1,PS1,,,,Downes2015,,,,Downes2015,Downes2015,,,,,,
J0524+0640,Gagne2015c,Gagne2015c,,,,,,,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,,,,,,,,,,,
J052434.86+114541.2,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,Gaia1,,,,,,,,,,
J052458.48+014400.2,Downes2015,Downes2015,,,,,,,PS1,PS1,,,,Downes2015,,,,Downes2015,Downes2015,,,,,,
J0525+6739,Kirkpatrick2011,Kirkpatrick2011,,,,,,,PS1,PS1,,Kirkpatrick2011,Kirkpatrick2011,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J0525-7426,Kirkpatrick2010,Kirkpatrick2010,,,,,,GagneBDs,,,2MASS,,,,,,,,,,,,,,
J052603.60+004414.7,Downes2015,Downes2015,,,,,,,PS1,PS1,,,,Downes2015,,,,Downes2015,Downes2015,,,,,,
J052611.95+004915.6,Downes2015,Downes2015,,,,,,,PS1,PS1,,,,Downes2015,,,,Downes2015,Downes2015,,,,,,
J052635.62+003601.5,Downes2015,Downes2015,,,,,,,PS1,PS1,2MASS,,,Downes2015,,,,Downes2015,Downes2015,,,,,,
J052641.69+003814.5,Downes2015,Downes2015,,,,,,,PS1,PS1,,,,Downes2015,,,,Downes2015,Downes2015,,,,,,
J0526-1824,Faherty2016,Faherty2016,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,Faherty2016,PS1,PS1,2MASS,,Faherty2016,Gagne2015c,,,,,,,,,,,
J0526-4455,Kendall2007,Kirkpatrick2008,,,,,,HSOY,,,2MASS,,,,HSOY,,,,,,,,,,
J0526-5026,Reid2008,Reid2008,,,,,,GagneBDs,,,2MASS,,,,,,,,,,,,,,
J052738.18+005741.6,Downes2015,Downes2015,,,,,,,PS1,PS1,2MASS,,,Downes2015,Gaia1,,,Downes2015,Downes2015,,,,,,
J052749.65+011218.8,Downes2015,Downes2015,,,,,,,PS1,PS1,2MASS,,,Downes2015,,,,Downes2015,Downes2015,,,,,,
J0528-3308,Kirkpatrick2011,Kirkpatrick2011,,,,,,,PS1,,,Kirkpatrick2011,Kirkpatrick2011,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
WISE J0528+0901,Thompson2013,Burgasser2016,Burgasser2016,Burgasser2016,Burgasser2016,Burgasser2016,,Burgasser2016,PS1,PS1,Burgasser2016,,,Burgasser2016,,Burgasser2016,,,,,,,,,
J052913.78+005109.9,Downes2015,Downes2015,,,,,,,PS1,PS1,2MASS,,,Downes2015,Gaia1,,,Downes2015,Downes2015,,,,,,
J052930.02+004727.4,Downes2015,Downes2015,,,,,,,PS1,PS1,,,,Downes2015,,,,Downes2015,Downes2015,,,,,,
J0530+6253,Reid2008,Reid2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0530-0524,Lodieu2008,Lodieu2009,,,,,,,PS1,PS1,,Lodieu2009,,,,,,,,,,,,,
J053035.47+014630.0,Downes2015,Downes2015,,,,,,,PS1,PS1,2MASS,,,Downes2015,,,,Downes2015,Downes2015,,,,,,
J053042.09+015133.9,Downes2015,Downes2015,,,,,,,PS1,PS1,,,,Downes2015,,,,Downes2015,Downes2015,,,,,,
2MASS J05320830-3253328,Robert2016,Robert2016,,,,,,Robert2016,Robert2016,,2MASS,,Robert2016,,,,,,,,,,,,
2M0532,Burgasser2003c,Zhang2017,,Zhang2017,Zhang2017,,Schilbach2009,Burgasser2008,PS1,,2MASS,,Burgasser2007b,,,,,,,,,,,,
J0532+0418,Kirkpatrick2014,Kirkpatrick2014,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,,,,,,,,,,
J0534-0631,Faherty2016,Faherty2016,,,,,,Faherty2016,PS1,PS1,2MASS,,Faherty2016,,,,,,,,,,,,
J053424.45+165255.0,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,2MASS,,,,,,,,,,,,,,
Proplyd 133-353,Fang2016,Fang2016,,Fang2016,Fang2016,Fang2016,,,,,,,,Fang2016,,,,,,,,,,,
WISE J053516.80-750024.9,Kirkpatrick2012,Kirkpatrick2012,,,,,Leggett2017,Leggett2017,,,,51-Dupuy2012,,,Gaia1,,,,,,,,,,
2MASS J05361998-1920396,Cruz2007,Liu2016,Gagne2015c,Gagne2015c,Faherty2016,Faherty2016,Liu2016,Liu2016,PS1,PS1,2MASS,,Liu2016,Gagne2015c,,Faherty2016,,,,,,,,,
SOri 66,ZapateroOsorio2000,BarradoyNavascues2003,,,,,,,PS1,,,,ZapateroOsorio2000,ZapateroOsorio2000,,,,,,,,,,,
SOri 70,ZapateroOsorio2002,Burgasser2006,,,,,,ZapateroOsorio2008,PS1,,,,ZapateroOsorio2002,ZapateroOsorio2002,,,,,,,,,,,
SOri 67,ZapateroOsorio2000,BarradoyNavascues2001,,,,,,,PS1,PS1,,,ZapateroOsorio2000,ZapateroOsorio2000,,,,,,,,,,,
SOri 47,ZapateroOsorio1999,Mcgovern2004,,,,,,GagneBDs,PS1,PS1,2MASS,,ZapateroOsorio1999,ZapateroOsorio1999,,,,,,,,,,,
SOri 65,ZapateroOsorio2000,BarradoyNavascues2001,,,,,,,PS1,PS1,,,ZapateroOsorio2000,ZapateroOsorio2000,,,,,,,,,,,
SOri 68,ZapateroOsorio2000,BarradoyNavascues2001,,,,,,,PS1,PS1,,,ZapateroOsorio2000,ZapateroOsorio2000,,,,,,,,,,,
SOri 61,ZapateroOsorio2000,BarradoyNavascues2001,,,,,,,PS1,,,,ZapateroOsorio2000,ZapateroOsorio2000,,,,,,,,,,,
SOri 71,BarradoyNavascues2002,ZapateroOsorio2000,,,,,,,PS1,PS1,,,BarradoyNavascues2002,BarradoyNavascues2002,,,,,,,,,,,
SOri 56,ZapateroOsorio2000,ZapateroOsorio2000,,,,,,,PS1,,,,ZapateroOsorio2000,ZapateroOsorio2000,,,,,,,,,,,
SOri 58,ZapateroOsorio2000,BarradoyNavascues2001,,,,,,,PS1,PS1,,,ZapateroOsorio2000,ZapateroOsorio2000,,,,,,,,,,,
SOri 60,ZapateroOsorio2000,BarradoyNavascues2001,,,,,,,PS1,PS1,,,ZapateroOsorio2000,ZapateroOsorio2000,,,,,,,,,,,
SOri 62,ZapateroOsorio2000,BarradoyNavascues2001,,,,,,,PS1,PS1,,,ZapateroOsorio2000,ZapateroOsorio2000,,,,,,,,,,,
J0539+5253,Deacon2014,Deacon2014,,,,,VanLeuuwen2007,,PS1,PS1,2MASS,,Deacon2014,,,,,,,,,,,,
0539-0058,Fan2000,Fan2000,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Vrba2004,Vrba2004,PS1,PS1,2MASS,,,,,Blake2010,,,,,,,,,
J0539-1034,Kirkpatrick2011,Kirkpatrick2011,,,,,,,,PS1,2MASS,,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
SOri 52,ZapateroOsorio2000,ZapateroOsorio2000,,,,,,,PS1,,,,ZapateroOsorio2000,ZapateroOsorio2000,,,,,,,,,,,
J0540-0906,Faherty2016,Faherty2016,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,Faherty2016,PS1,PS1,2MASS,,Faherty2016,Gagne2015c,,,,,,,,,,,
J0540+4832,Mace2013,Mace2013,,,,,,,PS1,,,Mace2013,,,,,,Mace2013,Mace2013,,,,,,
J085.3474+36.3037,Best2015,,,,,,,HSOY,PS1,PS1,2MASS,,,,HSOY,,,,,,,,,,
J0542-1628,Kirkpatrick2011,Kirkpatrick2011,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J0543+6422,Reid2008,Gagne2015c,,Gagne2015c,Gagne2015c,,,HSOY,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,HSOY,Blake2010,,,,,,,,,
