Name,DiscRef,r_SpT,r_radius,r_log_g,r_Teff,r_Mass,r_D_Trig,r_pm,r_SDSS,r_PanSTARRS_y,JHKRef,MKORef,r_Peculiarities,r_Member,r_Gaia-G,r_RV,Polarization Ref,r_IRAC3p6,r_IRAC4p5,r_MKO-Y,r_Variable,r_Variable_period,r_IRAC5p8,r_IRAC8,r_MKO-L
J054455.54+063940.3,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J0546-0959,Mace2013,Mace2013,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,Mace2013,Mace2013,,,,,,
J0550+1610,Kirkpatrick2014,Kirkpatrick2014,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J087.7749-12.6537,Best2015,Best2015,,,,,,Best2015,PS1,PS1,2MASS,,,,,,,,,,,,,,
J088.0452+43.2123,Best2015,Best2015,,,,,,Best2015,PS1,PS1,2MASS,,,,,,,,,,,,,,
J088.3324-24.4439,Best2015,Best2015,,,,,,Best2015,PS1,PS1,Best2015,,,,,,,,,,,,,,
2MASS J05575096-1359503,Faherty2016,Faherty2016,,,,,Faherty2016,HSOY,PS1,PS1,2MASS,,Faherty2016,,HSOY,Faherty2016,,,,,,,,,
APM0559,Zhang2017,Zhang2017,,Zhang2017,Zhang2017,,,,PS1,PS1,2MASS,,,,,,,,,,,,,,
0559-1404,Burgasser2000b,Burgasser2003d,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Dupuy2012,Dahn2002,PS1,,2MASS,38-Dupuy2012,,,,,,,,,Radigan2014a,Radigan2014a,,,
J0559+5844,Kirkpatrick2016,Kirkpatrick2016,,,,,,,PS1,PS1,,,,,,,,,,,,,,,
WISEA J055959.30-583546.0,Schneider2017,Schneider2017,,,,,,Schneider2017,,,2MASS,,,,,,,,,,,,,,
J060202.67+724235.4,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J0602+4043,Looper2007,Looper2007,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0602+6336,Reid2008,Gagne2015c,,Gagne2015c,Gagne2015c,,,GagneBDs,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,,,,,,,,,,,
2MASS J06023045+3910592,Salim2003,Faherty2016,Filippazzo2015,Filippazzo2015,Faherty2016,Faherty2016,Faherty2016,Faherty2016,PS1,,2MASS,,Faherty2016,,,Blake2010,Manjavacas2017,,,,,,,,
J0605-2342,Cruz2007,Cruz2007,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0607+2429,Castro2012,Castro2013,,,,,Castro2013,Castro2012,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0607+4550,Kirkpatrick2014,Kirkpatrick2014,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
2MASS J06085283-2753583,Kirkpatrick2008,Faherty2016,Filippazzo2015,Filippazzo2015,Faherty2016,Faherty2016,Liu2016,Liu2016,PS1,PS1,2MASS,,Liu2016,Gagne2014a,,Faherty2016,,,,,,,,,
CD-35 2722 B,Wahhaj2011,Wahhaj2011,,,,,Gaia1,HSOY,APASS9,,2MASS,,Wahhaj2011,Wahhaj2011,HSOY,,,,,,,,,,
J060958.86-442751.7,Schneider2016,Schneider2016,,,,,,Schneider2016,,,Schneider2016,,,,Gaia1,,,,,,,,,,
0610-2152B,Nakajima1995,Burgasser2006,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,VanLeuuwen2007 (host),Perryman1997,,PS1,,12-Dupuy2012,Burgasser2006 ; ?,,,,,,,,,,,,
0611-0410AB,Kirkpatrick2011,Kirkpatrick2011,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J0612-4920,Kirkpatrick2011,Kirkpatrick2011,,,,,,,,,,,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J0612-3036,Kirkpatrick2011,Kirkpatrick2011,,,,,,,,PS1,2MASS,,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J0613+1514,Deacon2014,Deacon2014,,,,,,,PS1,PS1,2MASS,,Deacon2014,,,,,,,,,,,,
J0614+3912,Kirkpatrick2011,Kirkpatrick2011,,,,,,,PS1,PS1,2MASS,,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J0614-2019,Andrei2011,Andrei2011,,,,,Marocco2013,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J061429.77+383337.5,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J0614+0951,Mace2013,Mace2013,,,,,,,PS1,PS1,2MASS,,,,,,,Mace2013,Mace2013,,,,,,
J0615-0100,Phan-Bao2008,Phan-Bao2008,,,,,,Phan-Bao2008,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0616-4557,Reid2008,Reid2008,,,,,,GagneBDs,,,2MASS,,,,,,,,,,,,,,
2M0616,Cushing2009,Zhang2017,,Zhang2017,Zhang2017,,Faherty2012,Cushing2009,,,2MASS,,Cushing2009,,,,,,,,,,,,
0619-5803b,Chauvin2005,Chauvin2005,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,VanLeuuwen2007 (host),Perryman1997,,,,,Montes2010 ; Chauvin2005,Montes2010,,,,,,,,,,,
2MASSI J0619526-290359,Liu2016,Liu2016,,,,,Liu2016,Liu2016,PS1,PS1,2MASS,,,,Gaia1,,,,,,,,,,
J0623-0456,Kirkpatrick2011,Kirkpatrick2011,,,,,,,PS1,,2MASS,,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J0624+6626,Castro2013,Castro2013,,,,,,Castro2013,PS1,PS1,2MASS,,,,,,,,,,,,,,
0624-4521,Reid2008,Gagne2015c,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Faherty2012,Schmidt2007,,,2MASS,,,,,,,,,,,,,,
J0625+5646,Kirkpatrick2011,Kirkpatrick2011,,,,,,GagneBDs,,PS1,2MASS,,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J0626+0029,Hawley2002,Hawley2002,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0627-1114,Kirkpatrick2011,Kirkpatrick2011,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J0627-5308,Faherty2016,Faherty2016,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,Faherty2016,,,2MASS,,Faherty2016,Gagne2015c,,,,,,,,,,,
J062858.69+345249.2,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J0629+2418,Mace2013,Mace2013,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0632+8305,Reid2008,Reid2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Blake2010,,,,,,,,,
J0632-5010,Reid2008,Faherty2016,,,,Gagne2015c,,Faherty2016,,,2MASS,,Reid2008,Gagne2015c,,,,,,,,,,,
J0632+2643,Schneider2016,Kirkpatrick2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,Gaia1,,,,,,,,,,
J0632+5053,Deacon2014,Deacon2014,,,,,,GagneBDs,PS1,PS1,2MASS,,Deacon2014,,,,,,,,,,,,
J0635-6234,Gagne2015c,Gagne2015c,,Gagne2015c,Gagne2015c,,,HSOY,,,2MASS,,Gagne2015c,Gagne2015c,HSOY,,,,,,,,,,
J063552.52+514820.4,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J063652.14+805322.7,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J0639-7418,Cruz2007,Cruz2007,,,,,,GagneBDs,,,2MASS,,,,,,,,,,,,,,
0641-4322,Reid2008,Reid2008,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Andrei2010,Dupuy2012,,,2MASS,,,,,,,,,,,,,,
J100.5233+41.0320,Best2015,Best2015,,,,,,Best2015,PS1,PS1,Best2015,,Mace2013,Best2015,,,,Mace2013,Mace2013,,,,,,
J0645-6646,Kirkpatrick2010,Kirkpatrick2010,,,,,,GagneBDs,,,2MASS,,Kirkpatrick2010,,,Kirkpatrick2010,,,,,,,,,
